Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Lufttrykk i havnivå
Kristiansund Lufthavn;SN64330;14.06.2021 12:00;12,8;1005,4
Kristiansund Lufthavn;SN64330;14.06.2021 13:00;12,5;1005
Kristiansund Lufthavn;SN64330;14.06.2021 14:00;12,4;1004,5
Kristiansund Lufthavn;SN64330;14.06.2021 15:00;12,3;1004
Kristiansund Lufthavn;SN64330;14.06.2021 16:00;11,9;1003,6
Kristiansund Lufthavn;SN64330;14.06.2021 17:00;12,3;1003,2
Kristiansund Lufthavn;SN64330;14.06.2021 18:00;11,7;1003,4
Kristiansund Lufthavn;SN64330;14.06.2021 19:00;10,2;1003,6
Kristiansund Lufthavn;SN64330;14.06.2021 20:00;10,6;1003,3
Kristiansund Lufthavn;SN64330;14.06.2021 21:00;10,6;1003,5
Kristiansund Lufthavn;SN64330;14.06.2021 22:00;9,9;1003,7
Kristiansund Lufthavn;SN64330;14.06.2021 23:00;9,5;1003,9
Kristiansund Lufthavn;SN64330;15.06.2021 00:00;9,3;1004,1
Data er gyldig per 05.11.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;;
